Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Status
yrp-the-magic-gifts-9781409506249,Yrp (The Magic Gifts.),<table><tr><td><strong>Author(s)</strong></td><td>Russell Punter</td></tr><tr><td><strong>Publisher</strong></td><td>Usborne</td></tr><tr><td><strong>Format</strong></td><td>Hard Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781409506249</td></tr></table>,Usborne,Media > Books,Books,"English, Hard Back, Russell Punter",TRUE,Title,Default Title,9781409506249,shopify,1,deny,manual,225,,TRUE,FALSE,9781409506249,https://covers.openlibrary.org/b/isbn/9781409506249-L.jpg,1,Yrp (The Magic Gifts.),active
the-frog-prince-9780746070239,The Frog Prince,<table><tr><td><strong>Author(s)</strong></td><td>Zanna Davidson</td></tr><tr><td><strong>Publisher</strong></td><td>Usborne</td></tr><tr><td><strong>Format</strong></td><td>Hard Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9780746070239</td></tr></table>,Usborne,Media > Books,Books,"English, Hard Back, Zanna Davidson",TRUE,Title,Default Title,9780746070239,shopify,1,deny,manual,225,,TRUE,FALSE,9780746070239,https://covers.openlibrary.org/b/isbn/9780746070239-L.jpg,1,The Frog Prince,active
the-undiscovered-self-9780451217325,The Undiscovered Self,"<p><b>One of the world’s greatest psychiatrists reveals how to embrace our own humanity and resist the pressures of an ever-changing world.</b><br> <br> In this challenging and provocative work, Dr. Carl Jung—one of history’s greatest minds—argues that civilization’s future depends on our ability as individuals to resist the collective forces of society. Only by gaining an awareness and understanding of one’s unconscious mind and true, inner nature—“the undiscovered self”—can we as individuals acquire the self-knowledge that is antithetical to ideological fanaticism. But this requires that we face our fear of the duality of the human psyche—the existence of good and the capacity for evil in every individual. <br><br>In this seminal book, Jung compellingly argues that only then can we begin to cope with the dangers posed by mass society—“the sum total of individuals”—and resist the potential threats posed by those in power.<br><br><b>“A passionate plea for individual integrity.”—<i>The New York Times Book Review</i></b></p>
<table><tr><td><strong>Author(s)</strong></td><td>C.G.JUNG</td></tr><tr><td><strong>Publisher</strong></td><td>PENGUIN BOOKS LTD. USA</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9780451217325</td></tr></table>",PENGUIN BOOKS LTD. USA,Media > Books,Books,"English, Paper Back, C.G.JUNG",TRUE,Title,Default Title,9780451217325,shopify,32,deny,manual,899,,TRUE,FALSE,9780451217325,https://images.isbndb.com/covers/17538333482348.jpg,1,The Undiscovered Self,active
beauty-and-the-beast-9780746080139,BEAUTY AND THE BEAST,<table><tr><td><strong>Author(s)</strong></td><td>Usborne</td></tr><tr><td><strong>Publisher</strong></td><td>USBORNE (HARPER)</td></tr><tr><td><strong>Format</strong></td><td>Hard Bound</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9780746080139</td></tr></table>,USBORNE (HARPER),Media > Books,Books,"English, Hard Bound, Usborne",TRUE,Title,Default Title,9780746080139,shopify,2,deny,manual,225,,TRUE,FALSE,9780746080139,https://covers.openlibrary.org/b/isbn/9780746080139-L.jpg,1,BEAUTY AND THE BEAST,active
j-krishnamurt-a-biography-9780140103434,J. KRISHNAMURT A BIOGRAPHY,<table><tr><td><strong>Author(s)</strong></td><td>JAYAKAR</td></tr><tr><td><strong>Publisher</strong></td><td>Penguin Books Australia</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9780140103434</td></tr></table>,Penguin Books Australia,Media > Books,Books,"English, Paper Back, JAYAKAR",TRUE,Title,Default Title,9780140103434,shopify,21,deny,manual,699,,TRUE,FALSE,9780140103434,https://covers.openlibrary.org/b/isbn/9780140103434-L.jpg,1,J. KRISHNAMURT A BIOGRAPHY,active
yrp-stories-of-robots-9780746060032,Yrp (Stories Of Robots.),<table><tr><td><strong>Author(s)</strong></td><td>Russell Punter</td></tr><tr><td><strong>Publisher</strong></td><td>Usborne</td></tr><tr><td><strong>Format</strong></td><td>Hard Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9780746060032</td></tr></table>,Usborne,Media > Books,Books,"English, Hard Back, Russell Punter",TRUE,Title,Default Title,9780746060032,shopify,1,deny,manual,225,,TRUE,FALSE,9780746060032,https://covers.openlibrary.org/b/isbn/9780746060032-L.jpg,1,Yrp (Stories Of Robots.),active
the-little-mermaid-9780746080023,THE LITTLE MERMAID,<table><tr><td><strong>Author(s)</strong></td><td>Usborne</td></tr><tr><td><strong>Publisher</strong></td><td>USBORNE (HARPER)</td></tr><tr><td><strong>Format</strong></td><td>Hard Bound</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9780746080023</td></tr></table>,USBORNE (HARPER),Media > Books,Books,"English, Hard Bound, Usborne",TRUE,Title,Default Title,9780746080023,shopify,1,deny,manual,225,,TRUE,FALSE,9780746080023,https://covers.openlibrary.org/b/isbn/9780746080023-L.jpg,1,THE LITTLE MERMAID,active
all-my-sons-penguin-modern-classics-9780141189970,All My Sons (Penguin Modern Classics),<table><tr><td><strong>Author(s)</strong></td><td>ARTHUR I. MILLER</td></tr><tr><td><strong>Publisher</strong></td><td>Penguin Classics</td></tr><tr><td><strong>Format</strong></td><td>Paper Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9780141189970</td></tr></table>,Penguin Classics,Media > Books,Books,"English, Paper Back, ARTHUR I. MILLER",TRUE,Title,Default Title,9780141189970,shopify,2,deny,manual,499,,TRUE,FALSE,9780141189970,https://covers.openlibrary.org/b/isbn/9780141189970-L.jpg,1,All My Sons (Penguin Modern Classics),active
sleeping-beauty-9781409520696,SLEEPING BEAUTY,<table><tr><td><strong>Author(s)</strong></td><td>Usborne</td></tr><tr><td><strong>Publisher</strong></td><td>USBORNE (HARPER)</td></tr><tr><td><strong>Format</strong></td><td>Hard Bound</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781409520696</td></tr></table>,USBORNE (HARPER),Media > Books,Books,"English, Hard Bound, Usborne",TRUE,Title,Default Title,9781409520696,shopify,1,deny,manual,225,,TRUE,FALSE,9781409520696,https://covers.openlibrary.org/b/isbn/9781409520696-L.jpg,1,SLEEPING BEAUTY,active
the-wooden-horse-9781409532101,The Wooden Horse,<table><tr><td><strong>Author(s)</strong></td><td>Russell Punter</td></tr><tr><td><strong>Publisher</strong></td><td>Usborne</td></tr><tr><td><strong>Format</strong></td><td>Hard Back</td></tr><tr><td><strong>Language</strong></td><td>English</td></tr><tr><td><strong>ISBN</strong></td><td>9781409532101</td></tr></table>,Usborne,Media > Books,Books,"English, Hard Back, Russell Punter",TRUE,Title,Default Title,9781409532101,shopify,1,deny,manual,225,,TRUE,FALSE,9781409532101,https://covers.openlibrary.org/b/isbn/9781409532101-L.jpg,1,The Wooden Horse,active
